Metrics/EnvironmentSteps,Metrics/AverageReturn
100,-98.0
200,-100.0
300,-100.0
400,-100.0
500,-100.0
600,-100.0
700,-100.0
800,-100.0
900,-100.0
1000,-100.0
1100,-100.0
1200,-100.0
1300,-100.0
1400,-100.0
1500,-100.0
1600,-100.0
1700,-100.0
1800,-100.0
1900,-100.0
2000,-100.0
2100,-100.0
2200,-100.0
2300,-100.0
2400,-100.0
2500,-100.0
2600,-99.0
2700,-100.0
2800,-100.0
2900,-100.0
3000,-100.0
3100,-100.0
3200,-100.0
3300,-100.0
3400,-100.0
3500,-100.0
3600,-100.0
3700,-100.0
3800,-100.0
3900,-100.0
4000,-100.0
4100,-100.0
4200,-100.0
4300,-100.0
4400,-100.0
4500,-100.0
4600,-100.0
4700,-100.0
4800,-100.0
4900,-100.0
5000,-100.0
5100,-99.0
5200,-100.0
5300,-100.0
5400,-100.0
5500,-53.0
5600,-100.0
5700,-100.0
5800,-100.0
5900,-100.0
6000,-96.0
6100,-100.0
6200,-88.0
6300,-100.0
6400,-100.0
6500,-100.0
6600,-100.0
6700,-100.0
6800,-100.0
6900,-100.0
7000,-100.0
7100,-100.0
7200,-100.0
7300,-100.0
7400,-91.0
7500,-100.0
7600,-100.0
7700,-100.0
7800,-100.0
7900,-100.0
8000,-100.0
8100,-100.0
8200,-100.0
8300,-100.0
8400,-100.0
8500,-99.0
8600,-100.0
8700,-100.0
8800,-100.0
8900,-97.0
9000,-99.0
9100,-100.0
9200,-100.0
9300,-98.0
9400,-94.0
9500,-98.0
9600,-100.0
9700,-99.0
9800,-98.0
9900,-100.0
10000,-98.0
10100,-100.0
10200,-100.0
10300,-100.0
10400,-98.0
10500,-98.0
10600,-100.0
10700,-99.0
10800,-100.0
10900,-100.0
11000,-100.0
11100,-100.0
11200,-100.0
11300,-90.0
11400,-100.0
11500,-100.0
11600,-99.0
11700,-100.0
11800,-100.0
11900,-99.0
12000,-100.0
12100,-97.0
12200,-100.0
12300,-89.0
12400,-100.0
12500,-46.0
12600,-26.0
12700,-74.0
12800,-96.0
12900,-58.0
13000,-60.0
13100,-25.0
13200,-15.0
13300,-46.0
13400,-2.0
13500,-66.0
13600,-49.0
13700,-91.0
13800,-26.0
13900,-57.0
14000,-24.0
14100,-39.0
14200,-68.0
14300,-39.0
14400,-1.0
14500,-96.0
14600,-69.0
14700,-58.0
14800,-40.0
14900,-8.0
15000,-3.0
15100,-12.0
15200,-97.0
15300,-71.0
15400,-5.0
15500,-15.0
15600,-55.0
15700,-20.0
15800,-40.0
15900,-28.0
16000,-98.0
16100,-42.0
16200,-34.0
16300,-19.0
16400,-79.0
16500,-94.0
16600,-97.0
16700,-22.0
16800,-3.0
16900,-18.0
17000,-100.0
17100,-100.0
17200,-6.0
17300,-3.0
17400,-3.0
17500,-4.0
17600,-18.0
17700,-17.0
17800,-1.0
17900,-7.0
18000,-8.0
18100,-37.0
18200,-2.0
18300,0.0
18400,-11.0
18500,-2.0
18600,-14.0
18700,-4.0
18800,-16.0
18900,-7.0
19000,-13.0
19100,0.0
19200,-7.0
19300,-3.0
19400,-3.0
19500,-4.0
19600,0.0
19700,-2.0
19800,-1.0
19900,-1.0
20000,-8.0
20100,-5.0
20200,-4.0
20300,-3.0
20400,-11.0
20500,-4.0
20600,-3.0
20700,-2.0
20800,-2.0
20900,-4.0
21000,-4.0
21100,-3.0
21200,-2.0
21300,-4.0
21400,-3.0
21500,-10.0
21600,-7.0
21700,-3.0
21800,-4.0
21900,-6.0
22000,-1.0
22100,-3.0
22200,-2.0
22300,-2.0
22400,-5.0
22500,-1.0
22600,-2.0
22700,-3.0
22800,-2.0
22900,-2.0
23000,-3.0
23100,-2.0
23200,-1.0
23300,-3.0
23400,-4.0
23500,-3.0
23600,-3.0
23700,-3.0
23800,-1.0
23900,-6.0
24000,-1.0
24100,-14.0
24200,0.0
24300,-12.0
24400,-3.0
24500,-3.0
24600,-2.0
24700,-6.0
24800,-1.0
24900,-2.0
25000,-3.0
25100,-3.0
25200,-2.0
25300,-2.0
25400,-6.0
25500,-6.0
25600,-4.0
25700,-3.0
25800,-6.0
25900,-2.0
26000,-4.0
26100,-6.0
26200,-3.0
26300,-11.0
26400,-2.0
26500,-8.0
26600,-5.0
26700,-7.0
26800,0.0
26900,-2.0
27000,-19.0
27100,-2.0
27200,-4.0
27300,-2.0
27400,-3.0
27500,-4.0
27600,-8.0
27700,-4.0
27800,-4.0
27900,-5.0
28000,-12.0
28100,-8.0
28200,-13.0
28300,-8.0
28400,-25.0
28500,-10.0
28600,-3.0
28700,-3.0
28800,-3.0
28900,-3.0
29000,-5.0
29100,0.0
29200,-2.0
29300,-1.0
29400,-7.0
29500,-3.0
29600,-2.0
29700,0.0
29800,-10.0
29900,-2.0
30000,-2.0
30100,-4.0
30200,-6.0
30300,-2.0
30400,0.0
30500,-1.0
30600,-9.0
30700,-1.0
30800,-9.0
30900,-1.0
31000,-2.0
31100,-4.0
31200,-5.0
31300,-3.0
31400,-5.0
31500,0.0
31600,-3.0
31700,-2.0
31800,-2.0
31900,-8.0
32000,-2.0
32100,-1.0
32200,-8.0
32300,-1.0
32400,-6.0
32500,-3.0
32600,-5.0
32700,-4.0
32800,-4.0
32900,-5.0
33000,-1.0
33100,-2.0
33200,-2.0
33300,-2.0
33400,-13.0
33500,-4.0
33600,-1.0
33700,-6.0
33800,-2.0
33900,-4.0
34000,-1.0
34100,-2.0
34200,-2.0
34300,-2.0
34400,-19.0
34500,-2.0
34600,-2.0
34700,-2.0
34800,-11.0
34900,-1.0
35000,-4.0
35100,-2.0
35200,-8.0
35300,-1.0
35400,-3.0
35500,-4.0
35600,0.0
35700,-4.0
35800,-2.0
35900,-2.0
36000,-4.0
36100,-4.0
36200,-9.0
36300,-3.0
36400,-3.0
36500,-3.0
36600,-1.0
36700,-7.0
36800,-3.0
36900,-4.0
37000,-2.0
37100,-2.0
37200,-5.0
37300,-2.0
37400,0.0
37500,-15.0
37600,-2.0
37700,-3.0
37800,-4.0
37900,-3.0
38000,-2.0
38100,-2.0
38200,-14.0
38300,-3.0
38400,-4.0
38500,-6.0
38600,-2.0
38700,-2.0
38800,-5.0
38900,-7.0
39000,-3.0
39100,-3.0
39200,-1.0
39300,-3.0
39400,-1.0
39500,-5.0
39600,-1.0
39700,0.0
39800,-10.0
39900,-1.0
40000,-3.0
40100,-6.0
40200,-2.0
40300,-5.0
40400,-9.0
40500,-6.0
40600,-1.0
40700,-4.0
40800,-8.0
40900,-2.0
41000,-2.0
41100,-2.0
41200,-2.0
41300,-2.0
