Metrics/EnvironmentSteps,Metrics/AverageReturn
100,-100.0
200,-100.0
300,-100.0
400,-100.0
500,-100.0
600,-100.0
700,-100.0
800,-100.0
900,-100.0
1000,-100.0
1100,-100.0
1200,-100.0
1300,-100.0
1400,-97.0
1500,-100.0
1600,-93.0
1700,-100.0
1800,-95.0
1900,-100.0
2000,-100.0
2100,-100.0
2200,-100.0
2300,-100.0
2400,-100.0
2500,-100.0
2600,-100.0
2700,-100.0
2800,-95.0
2900,-97.0
3000,-100.0
3100,-100.0
3200,-100.0
3300,-100.0
3400,-96.0
3500,-100.0
3600,-94.0
3700,-89.0
3800,-92.0
3900,-98.0
4000,-84.0
4100,-91.0
4200,-96.0
4300,-96.0
4400,-87.0
4500,-99.0
4600,-94.0
4700,-83.0
4800,-88.0
4900,-94.0
5000,-48.0
5100,-99.0
5200,-31.0
5300,-77.0
5400,-85.0
5500,-65.0
5600,-55.0
5700,-84.0
5800,-51.0
5900,-72.0
6000,-25.0
6100,-61.0
6200,-55.0
6300,-43.0
6400,-16.0
6500,-22.0
6600,-20.0
6700,-36.0
6800,-28.0
6900,-25.0
7000,-19.0
7100,-38.0
7200,-32.0
7300,-26.0
7400,-23.0
7500,-32.0
7600,-24.0
7700,-27.0
7800,-27.0
7900,-7.0
8000,-20.0
8100,-16.0
8200,-5.0
8300,-16.0
8400,-14.0
8500,-9.0
8600,-8.0
8700,-9.0
8800,-10.0
8900,-3.0
9000,-15.0
9100,-8.0
9200,-10.0
9300,-12.0
9400,-3.0
9500,-4.0
9600,-4.0
9700,-11.0
9800,-5.0
9900,-5.0
10000,-7.0
10100,-4.0
10200,-10.0
10300,-8.0
10400,-5.0
10500,-8.0
10600,-5.0
10700,-11.0
10800,-2.0
10900,-3.0
11000,-6.0
11100,-5.0
11200,-2.0
11300,-5.0
11400,-8.0
11500,-2.0
11600,-7.0
11700,-3.0
11800,-6.0
11900,-5.0
12000,-4.0
12100,-4.0
12200,-3.0
12300,-4.0
12400,-3.0
12500,-3.0
12600,-1.0
12700,-3.0
12800,-9.0
12900,-3.0
13000,-5.0
13100,-6.0
13200,-5.0
13300,-5.0
13400,-7.0
13500,-7.0
13600,-4.0
13700,-7.0
13800,-1.0
13900,-5.0
14000,-9.0
14100,-5.0
14200,-8.0
14300,-7.0
14400,-7.0
14500,-3.0
14600,-6.0
14700,-7.0
14800,-3.0
14900,-4.0
15000,-3.0
15100,-7.0
15200,-6.0
15300,-5.0
15400,-4.0
15500,-6.0
15600,-5.0
15700,-5.0
15800,-3.0
15900,-4.0
16000,-6.0
16100,-3.0
16200,-4.0
16300,-3.0
16400,-2.0
16500,-2.0
16600,-3.0
16700,-2.0
16800,-10.0
16900,-12.0
17000,-4.0
17100,-7.0
17200,-6.0
17300,-5.0
17400,-6.0
17500,-4.0
17600,-5.0
17700,-1.0
17800,-1.0
17900,-3.0
18000,-6.0
18100,-3.0
18200,-4.0
18300,-3.0
18400,-4.0
18500,-5.0
18600,-4.0
18700,-4.0
18800,-7.0
18900,-2.0
19000,-6.0
19100,-3.0
19200,-2.0
19300,0.0
19400,-4.0
19500,-6.0
19600,-9.0
19700,-6.0
19800,-6.0
19900,-5.0
20000,-5.0
20100,-5.0
20200,-9.0
20300,-6.0
20400,-2.0
20500,-6.0
20600,-7.0
20700,-2.0
20800,-6.0
20900,-13.0
21000,-6.0
21100,-4.0
21200,-3.0
21300,-8.0
21400,-5.0
21500,-4.0
21600,-2.0
21700,-3.0
21800,-4.0
21900,-4.0
22000,-4.0
22100,-6.0
22200,-4.0
22300,-8.0
22400,-5.0
22500,-3.0
22600,-12.0
22700,-2.0
22800,-3.0
22900,-6.0
23000,-5.0
23100,-4.0
23200,-6.0
23300,-5.0
23400,-5.0
23500,-7.0
23600,-6.0
23700,-2.0
23800,-3.0
23900,-8.0
24000,-5.0
24100,-3.0
24200,-3.0
24300,-2.0
24400,-4.0
24500,-4.0
24600,-3.0
24700,-8.0
24800,-15.0
24900,-3.0
25000,-4.0
25100,-5.0
25200,-5.0
25300,-4.0
25400,-3.0
25500,-6.0
25600,-3.0
25700,-9.0
25800,-9.0
25900,-5.0
26000,-6.0
26100,-9.0
26200,-3.0
26300,-12.0
26400,-2.0
26500,-10.0
26600,-4.0
26700,-5.0
26800,-3.0
26900,-7.0
27000,-6.0
27100,-5.0
27200,-3.0
27300,-5.0
27400,-5.0
27500,-3.0
27600,-2.0
27700,-5.0
27800,-2.0
27900,-6.0
28000,-9.0
28100,-7.0
28200,-3.0
28300,-5.0
28400,-6.0
28500,-5.0
28600,-5.0
28700,-3.0
28800,-5.0
28900,-7.0
29000,-7.0
29100,-3.0
29200,-8.0
