Wall time,Metrics/EnvironmentSteps,Metrics/AverageReturn
1761123807.5580626,100,-100.0
1761123810.22351,200,-100.0
1761123814.1198769,300,-100.0
1761123816.5695121,400,-100.0
1761123818.9526656,500,-100.0
1761123822.2022948,600,-100.0
1761123827.0399892,700,-100.0
1761123830.0908315,800,-100.0
1761123832.8959677,900,-100.0
1761123836.7930887,1000,-100.0
1761123839.6550095,1100,-100.0
1761123843.9988532,1200,-100.0
1761123849.7925518,1300,-100.0
1761123853.0693913,1400,-97.0
1761123855.917562,1500,-100.0
1761123858.716261,1600,-93.0
1761123861.6409006,1700,-100.0
1761123864.925119,1800,-95.0
1761123867.7599902,1900,-100.0
1761123870.6831553,2000,-100.0
1761123873.6310394,2100,-100.0
1761123877.4345446,2200,-100.0
1761123880.2972164,2300,-100.0
1761123884.2347605,2400,-100.0
1761123889.1748705,2500,-100.0
1761123892.3520725,2600,-100.0
1761123896.6516998,2700,-100.0
1761123902.548999,2800,-95.0
1761123905.5606081,2900,-97.0
1761123909.2334497,3000,-100.0
1761123912.5949972,3100,-100.0
1761123916.0986228,3200,-100.0
1761123920.6247015,3300,-100.0
1761123924.3391953,3400,-96.0
1761123928.6760828,3500,-100.0
1761123931.885862,3600,-94.0
1761123937.204978,3700,-89.0
1761123943.537978,3800,-92.0
1761123947.3180084,3900,-98.0
1761123950.656034,4000,-84.0
1761123954.3014467,4100,-91.0
1761123960.0016696,4200,-96.0
1761123964.190554,4300,-96.0
1761123969.520906,4400,-87.0
1761123972.7767544,4500,-99.0
1761123977.6656673,4600,-94.0
1761123980.7472532,4700,-83.0
1761123985.0611181,4800,-88.0
1761123988.3048997,4900,-94.0
1761123993.1275845,5000,-48.0
1761123996.5413275,5100,-99.0
1761124003.0895958,5200,-31.0
1761124006.4886265,5300,-77.0
1761124009.5603383,5400,-85.0
1761124013.2293677,5500,-65.0
1761124017.4538858,5600,-55.0
1761124020.4836757,5700,-84.0
1761124023.4809227,5800,-51.0
1761124026.471044,5900,-72.0
1761124029.5703247,6000,-25.0
1761124035.9557068,6100,-61.0
1761124038.9966745,6200,-55.0
1761124042.0839083,6300,-43.0
1761124046.459288,6400,-16.0
1761124049.531434,6500,-22.0
1761124052.720304,6600,-20.0
1761124055.8023283,6700,-36.0
1761124061.0087204,6800,-28.0
1761124065.021444,6900,-25.0
1761124069.3216274,7000,-19.0
1761124072.885947,7100,-38.0
1761124076.5047362,7200,-32.0
1761124079.7965212,7300,-26.0
1761124083.5815277,7400,-23.0
1761124087.2726295,7500,-32.0
1761124090.3488696,7600,-24.0
1761124093.8358586,7700,-27.0
1761124097.4358537,7800,-27.0
1761124103.1444075,7900,-7.0
1761124106.3034062,8000,-20.0
1761124110.5257864,8100,-16.0
1761124113.8798153,8200,-5.0
1761124117.645189,8300,-16.0
1761124122.2600474,8400,-14.0
1761124128.4057474,8500,-9.0
1761124131.9480348,8600,-8.0
1761124136.8700995,8700,-9.0
1761124140.0216374,8800,-10.0
1761124143.2168689,8900,-3.0
1761124146.408607,9000,-15.0
1761124149.91688,9100,-8.0
1761124155.4938655,9200,-10.0
1761124160.750923,9300,-12.0
1761124164.256128,9400,-3.0
1761124167.6536758,9500,-4.0
1761124170.8515835,9600,-4.0
1761124174.138959,9700,-11.0
1761124177.2434003,9800,-5.0
1761124180.3765254,9900,-5.0
1761124184.3749542,10000,-7.0
1761124188.238869,10100,-4.0
1761124191.7188597,10200,-10.0
1761124195.4652746,10300,-8.0
1761124198.8017185,10400,-5.0
1761124202.0264091,10500,-8.0
1761124205.228661,10600,-5.0
1761124208.4026215,10700,-11.0
1761124212.3366811,10800,-2.0
1761124215.5573676,10900,-3.0
1761124218.7994645,11000,-6.0
1761124222.072525,11100,-5.0
1761124225.3236187,11200,-2.0
1761124228.578275,11300,-5.0
1761124234.0630844,11400,-8.0
1761124237.9989767,11500,-2.0
1761124241.4196727,11600,-7.0
1761124245.4610653,11700,-3.0
1761124249.694791,11800,-6.0
1761124252.9423757,11900,-5.0
1761124258.974207,12000,-4.0
1761124263.612924,12100,-4.0
1761124266.8583198,12200,-3.0
1761124270.110568,12300,-4.0
1761124273.387814,12400,-3.0
1761124276.7577782,12500,-3.0
1761124280.0634577,12600,-1.0
1761124283.4175885,12700,-3.0
1761124286.6573825,12800,-9.0
1761124289.9358594,12900,-3.0
1761124293.3147047,13000,-5.0
1761124296.5986009,13100,-6.0
1761124299.8651695,13200,-5.0
1761124303.9710667,13300,-5.0
1761124307.240354,13400,-7.0
1761124310.527606,13500,-7.0
1761124313.8122153,13600,-4.0
1761124317.100721,13700,-7.0
1761124320.405133,13800,-1.0
1761124325.2439418,13900,-5.0
1761124329.413124,14000,-9.0
1761124334.0719073,14100,-5.0
1761124337.3257916,14200,-8.0
1761124340.6245942,14300,-7.0
1761124345.118399,14400,-7.0
1761124348.3919847,14500,-3.0
1761124351.6797063,14600,-6.0
1761124355.015656,14700,-7.0
1761124360.1209488,14800,-3.0
1761124364.0448115,14900,-4.0
1761124369.8172483,15000,-3.0
1761124373.4979568,15100,-7.0
1761124377.0872734,15200,-6.0
1761124380.423361,15300,-5.0
1761124383.7531228,15400,-4.0
1761124387.2038648,15500,-6.0
1761124390.716926,15600,-5.0
1761124397.681368,15700,-5.0
1761124401.7780411,15800,-3.0
1761124407.374093,15900,-4.0
1761124410.6921225,16000,-6.0
1761124414.0229473,16100,-3.0
1761124417.313569,16200,-4.0
1761124420.8650727,16300,-3.0
1761124424.719327,16400,-2.0
1761124429.6561792,16500,-2.0
1761124433.0570474,16600,-3.0
1761124437.0705786,16700,-2.0
1761124440.7078235,16800,-10.0
1761124444.1068213,16900,-12.0
1761124447.4658768,17000,-4.0
1761124450.932039,17100,-7.0
1761124454.3457952,17200,-6.0
1761124458.055627,17300,-5.0
1761124461.474086,17400,-6.0
1761124464.9100485,17500,-4.0
1761124468.2744172,17600,-5.0
1761124471.8876257,17700,-1.0
1761124475.2854767,17800,-1.0
1761124479.6065106,17900,-3.0
1761124484.013092,18000,-6.0
1761124488.6110864,18100,-3.0
1761124492.0131047,18200,-4.0
1761124495.3905308,18300,-3.0
1761124499.3843105,18400,-4.0
1761124504.9851773,18500,-5.0
1761124508.3891203,18600,-4.0
1761124511.7496648,18700,-4.0
1761124515.140838,18800,-7.0
1761124518.4849095,18900,-2.0
1761124521.8196943,19000,-6.0
1761124525.2214954,19100,-3.0
1761124529.2247953,19200,-2.0
1761124533.8663514,19300,0.0
1761124537.3310037,19400,-4.0
1761124540.779244,19500,-6.0
1761124544.8675663,19600,-9.0
1761124548.3783593,19700,-6.0
1761124552.8458014,19800,-6.0
1761124558.00912,19900,-5.0
1761124561.4197376,20000,-5.0
1761124565.793202,20100,-5.0
1761124569.1993237,20200,-9.0
1761124573.463909,20300,-6.0
1761124577.033781,20400,-2.0
1761124580.499157,20500,-6.0
1761124584.0261786,20600,-7.0
1761124587.4609346,20700,-2.0
1761124590.93128,20800,-6.0
1761124594.4217749,20900,-13.0
1761124597.959842,21000,-6.0
1761124601.4793804,21100,-4.0
1761124605.0012398,21200,-3.0
1761124608.9255555,21300,-8.0
1761124612.4250746,21400,-5.0
1761124616.8778498,21500,-4.0
1761124621.7725003,21600,-2.0
1761124625.2196255,21700,-3.0
1761124628.6776338,21800,-4.0
1761124632.1615317,21900,-4.0
1761124635.7048676,22000,-4.0
1761124639.37347,22100,-6.0
1761124642.8378978,22200,-4.0
1761124646.4044151,22300,-8.0
1761124649.9052536,22400,-5.0
1761124653.4130182,22500,-3.0
1761124657.1929812,22600,-12.0
1761124660.6868587,22700,-2.0
1761124665.7381034,22800,-3.0
1761124670.270233,22900,-6.0
1761124675.9449093,23000,-5.0
1761124681.0380054,23100,-4.0
1761124684.5565336,23200,-6.0
1761124688.985585,23300,-5.0
1761124692.5381908,23400,-5.0
1761124697.166714,23500,-7.0
1761124702.2673347,23600,-6.0
1761124705.8273659,23700,-2.0
1761124709.3219254,23800,-3.0
1761124714.018438,23900,-8.0
1761124717.570724,24000,-5.0
1761124721.1114135,24100,-3.0
1761124725.3287067,24200,-3.0
1761124730.062622,24300,-2.0
1761124733.5495987,24400,-4.0
1761124740.6522238,24500,-4.0
1761124744.1922994,24600,-3.0
1761124747.7498045,24700,-8.0
1761124751.3264604,24800,-15.0
1761124755.5522726,24900,-3.0
1761124759.3041534,25000,-4.0
1761124762.8568141,25100,-5.0
1761124766.445,25200,-5.0
1761124769.9914844,25300,-4.0
1761124773.5247915,25400,-3.0
1761124777.1093833,25500,-6.0
1761124780.6481311,25600,-3.0
1761124784.197315,25700,-9.0
1761124788.4463005,25800,-9.0
1761124795.0665634,25900,-5.0
1761124798.643228,26000,-6.0
1761124802.2012873,26100,-9.0
1761124806.4481695,26200,-3.0
1761124812.862628,26300,-12.0
1761124816.42212,26400,-2.0
1761124819.9613614,26500,-10.0
1761124823.528516,26600,-4.0
1761124827.9005756,26700,-5.0
1761124832.1517184,26800,-3.0
1761124836.1557205,26900,-7.0
1761124840.8216243,27000,-6.0
1761124844.4093127,27100,-5.0
1761124849.4177852,27200,-3.0
1761124853.0642676,27300,-5.0
1761124857.2990541,27400,-5.0
1761124860.9064126,27500,-3.0
1761124865.2348921,27600,-2.0
1761124868.8998709,27700,-5.0
1761124873.5421762,27800,-2.0
1761124877.1570663,27900,-6.0
1761124880.8119624,28000,-9.0
1761124884.4122734,28100,-7.0
1761124888.0706182,28200,-3.0
1761124892.5002415,28300,-5.0
1761124896.1040003,28400,-6.0
1761124899.6806707,28500,-5.0
1761124903.2840683,28600,-5.0
1761124906.9004035,28700,-3.0
1761124911.348296,28800,-5.0
1761124914.9320266,28900,-7.0
1761124918.8417358,29000,-7.0
1761124922.4255395,29100,-3.0
1761124927.503589,29200,-8.0
1761124931.4139686,29300,-6.0
1761124935.0118828,29400,-4.0
1761124939.5679166,29500,-2.0
1761124946.912051,29600,-8.0
1761124950.5368922,29700,-4.0
1761124956.7014108,29800,-6.0
1761124960.285532,29900,-2.0
1761124964.5288806,30000,-1.0
1761124970.1638415,30100,-5.0
1761124973.8255212,30200,-5.0
1761124977.482963,30300,-5.0
1761124981.1574364,30400,-3.0
1761124984.8028002,30500,-6.0
1761124988.4262197,30600,-5.0
1761124992.0825195,30700,-1.0
1761124995.737241,30800,-5.0
1761124999.365728,30900,-4.0
1761125004.1859295,31000,-7.0
1761125010.3877966,31100,-7.0
1761125013.9216957,31200,-4.0
1761125017.4948952,31300,-4.0
1761125021.0279858,31400,-7.0
1761125024.5973296,31500,-4.0
1761125028.1545079,31600,-6.0
1761125032.16398,31700,-2.0
1761125035.7479005,31800,-3.0
1761125039.2874913,31900,-3.0
1761125044.1479003,32000,-5.0
1761125047.7576005,32100,-3.0
1761125051.4046934,32200,-9.0
1761125055.2378547,32300,-7.0
1761125058.8869872,32400,-7.0
1761125062.506768,32500,-8.0
1761125066.2261207,32600,-5.0
1761125069.838477,32700,-4.0
1761125073.4558027,32800,-2.0
1761125077.0838597,32900,-5.0
1761125080.7619975,33000,-3.0
1761125084.4090533,33100,-6.0
1761125088.062703,33200,-6.0
1761125092.1663957,33300,-3.0
1761125095.9768457,33400,-5.0
1761125099.6312993,33500,-3.0
1761125103.2787943,33600,-5.0
1761125106.9054246,33700,-9.0
1761125110.5630486,33800,-16.0
1761125114.2416537,33900,-4.0
1761125117.9168203,34000,-5.0
1761125121.5254555,34100,-8.0
1761125125.1466074,34200,-5.0
1761125128.8116677,34300,-2.0
1761125133.210903,34400,0.0
1761125136.8264396,34500,-6.0
1761125140.4035861,34600,-2.0
1761125144.0099664,34700,-6.0
