Wall time,Metrics/EnvironmentSteps,Metrics/AverageReturn
1763117574.8743138,100,-100.0
1763117575.419369,200,-100.0
1763117575.9697995,300,-100.0
1763117576.553321,400,-100.0
1763117577.1269577,500,-100.0
1763117577.6819007,600,-100.0
1763117578.2318232,700,-100.0
1763117578.8137689,800,-100.0
1763117579.370363,900,-100.0
1763117579.9266837,1000,-100.0
1763117580.4955256,1100,-100.0
1763117581.0659208,1200,-100.0
1763117581.632381,1300,-100.0
1763117582.199892,1400,-100.0
1763117582.8230526,1500,-100.0
1763117583.4226325,1600,-100.0
1763117584.0075068,1700,-100.0
1763117584.6049325,1800,-100.0
1763117585.1968806,1900,-100.0
1763117585.861292,2000,-100.0
1763117586.466228,2100,-100.0
1763117587.1095943,2200,-100.0
1763117587.737595,2300,-100.0
1763117588.3771024,2400,-100.0
1763117589.0284593,2500,-100.0
1763117589.7162225,2600,-99.0
1763117590.354872,2700,-100.0
1763117591.0160346,2800,-100.0
1763117591.67882,2900,-100.0
1763117592.315851,3000,-99.0
1763117592.9544446,3100,-100.0
1763117593.6877193,3200,-100.0
1763117594.3585863,3300,-100.0
1763117595.012865,3400,-100.0
1763117595.6978598,3500,-100.0
1763117596.4004958,3600,-100.0
1763117597.069961,3700,-100.0
1763117597.7439995,3800,-100.0
1763117598.4572918,3900,-100.0
1763117599.1648564,4000,-100.0
1763117599.8478134,4100,-100.0
1763117600.5584245,4200,-100.0
1763117601.2539527,4300,-100.0
1763117601.9538088,4400,-100.0
1763117602.6739395,4500,-100.0
1763117603.4124346,4600,-100.0
1763117604.13508,4700,-100.0
1763117604.8822498,4800,-100.0
1763117605.605744,4900,-100.0
1763117606.3231363,5000,-98.0
1763117607.0570376,5100,-100.0
1763117607.7975132,5200,-100.0
1763117608.5305846,5300,-100.0
1763117609.264896,5400,-100.0
1763117610.0150208,5500,-100.0
1763117610.7651553,5600,-100.0
1763117611.5204995,5700,-100.0
1763117612.2812204,5800,-100.0
1763117613.0369272,5900,-100.0
1763117613.7954142,6000,-100.0
1763117614.568607,6100,-100.0
1763117615.3352075,6200,-100.0
1763117616.1073084,6300,-100.0
1763117616.9190557,6400,-100.0
1763117617.7291794,6500,-100.0
1763117618.5353487,6600,-100.0
1763117619.3378057,6700,-100.0
1763117620.1225755,6800,-100.0
1763117620.9303327,6900,-100.0
1763117621.7364519,7000,-100.0
1763117622.5690389,7100,-100.0
1763117623.3773005,7200,-100.0
1763117624.2438185,7300,-100.0
1763117625.104735,7400,-100.0
1763117625.9281723,7500,-100.0
1763117626.7610617,7600,-100.0
1763117627.6332247,7700,-100.0
1763117628.468819,7800,-99.0
1763117629.3108225,7900,-100.0
1763117630.162519,8000,-100.0
1763117630.9946718,8100,-100.0
1763117631.8359578,8200,-100.0
1763117632.6778286,8300,-100.0
1763117633.5187957,8400,-100.0
1763117634.3533366,8500,-100.0
1763117635.2445593,8600,-100.0
1763117636.1049213,8700,-99.0
1763117636.9535506,8800,-100.0
1763117637.8020322,8900,-100.0
1763117638.681247,9000,-100.0
1763117639.5442307,9100,-100.0
1763117640.428571,9200,-100.0
1763117641.2910087,9300,-100.0
1763117642.1624467,9400,-100.0
1763117643.0286338,9500,-100.0
1763117643.9035056,9600,-97.0
1763117644.7862325,9700,-100.0
1763117645.6624162,9800,-100.0
1763117646.5472176,9900,-100.0
1763117647.4764476,10000,-100.0
1763117648.4910498,10100,-100.0
1763117649.4065459,10200,-100.0
1763117650.3743067,10300,-100.0
1763117651.304616,10400,-100.0
1763117652.2284322,10500,-100.0
1763117653.140165,10600,-100.0
1763117654.0617325,10700,-100.0
1763117654.9793434,10800,-100.0
1763117655.914187,10900,-100.0
1763117656.8456652,11000,-100.0
1763117657.7857609,11100,-100.0
1763117658.7287216,11200,-100.0
1763117659.7139432,11300,-100.0
1763117660.663536,11400,-100.0
1763117661.639977,11500,-100.0
1763117662.616885,11600,-100.0
1763117663.560684,11700,-99.0
1763117664.514747,11800,-100.0
1763117665.515407,11900,-100.0
1763117666.4714227,12000,-100.0
1763117667.499818,12100,-100.0
1763117668.4961002,12200,-100.0
1763117669.4480307,12300,-100.0
1763117670.3995862,12400,-100.0
1763117671.3539371,12500,-100.0
1763117672.3329573,12600,-100.0
1763117673.2895622,12700,-100.0
1763117674.2811363,12800,-100.0
1763117675.2955692,12900,-100.0
1763117676.2857394,13000,-100.0
1763117677.2549229,13100,-100.0
1763117678.2714157,13200,-100.0
1763117679.262178,13300,-100.0
1763117680.250557,13400,-100.0
1763117681.3091686,13500,-100.0
1763117682.325797,13600,-100.0
1763117683.3245776,13700,-100.0
1763117684.3648129,13800,-100.0
1763117685.368822,13900,-100.0
1763117686.3869543,14000,-100.0
1763117687.4104493,14100,-100.0
1763117688.434834,14200,-100.0
1763117689.4506104,14300,-100.0
1763117690.4818087,14400,-100.0
1763117691.5089593,14500,-100.0
1763117692.5386803,14600,-100.0
1763117693.5652483,14700,-100.0
1763117694.6223316,14800,-100.0
1763117695.663371,14900,-100.0
1763117696.7276824,15000,-100.0
1763117697.7834597,15100,-100.0
1763117698.833917,15200,-100.0
1763117699.8725848,15300,-99.0
1763117700.9025376,15400,-98.0
1763117701.9312742,15500,-100.0
1763117702.958098,15600,-100.0
1763117703.9758854,15700,-100.0
1763117705.0204263,15800,-100.0
1763117706.0550392,15900,-100.0
1763117707.089127,16000,-100.0
1763117708.1270502,16100,-100.0
1763117709.1744475,16200,-100.0
1763117710.2432044,16300,-100.0
1763117711.2943063,16400,-100.0
1763117712.3916423,16500,-100.0
1763117713.4633408,16600,-100.0
1763117714.5272427,16700,-100.0
1763117715.6287374,16800,-100.0
1763117716.709969,16900,-100.0
1763117717.7903156,17000,-100.0
1763117718.8960972,17100,-100.0
1763117719.9674158,17200,-100.0
1763117721.0272872,17300,-100.0
1763117722.0794144,17400,-100.0
1763117723.1499064,17500,-100.0
1763117724.217385,17600,-100.0
1763117725.2846036,17700,-100.0
1763117726.358952,17800,-99.0
1763117727.4227214,17900,-100.0
1763117728.494145,18000,-100.0
1763117729.5628316,18100,-100.0
1763117730.6665184,18200,-100.0
1763117731.7531445,18300,-100.0
1763117732.8658137,18400,-100.0
