Wall time,Metrics/EnvironmentSteps,Metrics/AverageReturn
1762558434.9868553,100,-96.0
1762558435.4425762,200,-100.0
1762558435.9043467,300,-100.0
1762558436.3960998,400,-100.0
1762558436.8872645,500,-100.0
1762558437.40493,600,-100.0
1762558437.923359,700,-100.0
1762558438.43301,800,-100.0
1762558438.9559913,900,-100.0
1762558439.498866,1000,-100.0
1762558440.0412548,1100,-100.0
1762558440.5709805,1200,-100.0
1762558441.0926898,1300,-100.0
1762558441.6234043,1400,-100.0
1762558442.1279125,1500,-100.0
1762558442.6432648,1600,-100.0
1762558443.1745021,1700,-100.0
1762558443.709773,1800,-100.0
1762558444.2859552,1900,-100.0
1762558444.8508258,2000,-100.0
1762558445.4047558,2100,-100.0
1762558446.0110524,2200,-100.0
1762558446.5897875,2300,-100.0
1762558447.1965666,2400,-100.0
1762558447.7971895,2500,-100.0
1762558448.4058077,2600,-100.0
1762558448.9919448,2700,-100.0
1762558449.616303,2800,-100.0
1762558450.261483,2900,-100.0
1762558450.8930209,3000,-100.0
1762558451.503887,3100,-100.0
1762558452.1080563,3200,-100.0
1762558452.7209585,3300,-98.0
1762558453.319113,3400,-100.0
1762558453.9229279,3500,-100.0
1762558454.4996564,3600,-100.0
1762558455.0860746,3700,-100.0
1762558455.6846814,3800,-100.0
1762558456.3369951,3900,-100.0
1762558456.9530795,4000,-99.0
1762558457.589389,4100,-100.0
1762558458.2506208,4200,-100.0
1762558458.9044375,4300,-100.0
1762558459.5702777,4400,-72.0
1762558460.1800683,4500,-100.0
1762558460.83571,4600,-100.0
1762558461.4831662,4700,-100.0
1762558462.0989904,4800,-100.0
1762558462.732861,4900,-100.0
1762558463.3846555,5000,-99.0
1762558464.107548,5100,-87.0
1762558464.7750971,5200,-100.0
1762558465.4426177,5300,-100.0
1762558466.138434,5400,-100.0
1762558466.8104959,5500,-100.0
1762558467.481145,5600,-100.0
1762558468.170974,5700,-100.0
1762558468.9242897,5800,-100.0
1762558469.6280289,5900,-100.0
1762558470.305138,6000,-100.0
1762558470.983121,6100,-100.0
1762558471.6562576,6200,-100.0
1762558472.3386176,6300,-100.0
1762558473.0260313,6400,-100.0
1762558473.7058709,6500,-100.0
1762558474.4840755,6600,-98.0
1762558475.1772642,6700,-100.0
1762558475.8523006,6800,-100.0
1762558476.5342214,6900,-100.0
1762558477.2183132,7000,-100.0
1762558477.9088674,7100,-100.0
1762558478.5938516,7200,-100.0
1762558479.3886988,7300,-85.0
1762558480.1216116,7400,-100.0
1762558480.87182,7500,-100.0
1762558481.621716,7600,-100.0
1762558482.349629,7700,-89.0
1762558483.0827096,7800,-100.0
1762558483.825741,7900,-100.0
1762558484.5742087,8000,-90.0
1762558485.317132,8100,-95.0
1762558486.046326,8200,-91.0
1762558486.7748852,8300,-100.0
1762558487.4972703,8400,-100.0
1762558488.2654846,8500,-100.0
1762558489.033571,8600,-63.0
1762558489.8031664,8700,-82.0
1762558490.565529,8800,-98.0
1762558491.3361483,8900,-59.0
1762558492.188786,9000,-33.0
1762558492.962757,9100,-93.0
1762558493.7285829,9200,-59.0
1762558494.519289,9300,-40.0
1762558495.2990518,9400,-40.0
1762558496.0885646,9500,-56.0
1762558496.893636,9600,-11.0
1762558497.755811,9700,-26.0
1762558498.5662577,9800,-15.0
1762558499.3738317,9900,-69.0
1762558500.184992,10000,-63.0
1762558501.107084,10100,-92.0
1762558501.9236505,10200,-29.0
1762558502.7439687,10300,-96.0
1762558503.5795553,10400,-9.0
1762558504.414972,10500,-34.0
1762558505.2376976,10600,-13.0
1762558506.0735965,10700,-90.0
1762558506.9103522,10800,-98.0
1762558507.7467203,10900,-99.0
1762558508.5913756,11000,-96.0
1762558509.4186656,11100,-43.0
1762558510.2799928,11200,-63.0
1762558511.1292036,11300,-5.0
1762558511.98624,11400,-46.0
1762558512.8357534,11500,-25.0
1762558513.6762323,11600,-38.0
1762558514.5439613,11700,-39.0
1762558515.409271,11800,-15.0
1762558516.2804058,11900,-16.0
1762558517.1195118,12000,-54.0
1762558517.9856806,12100,-17.0
1762558518.8484876,12200,-7.0
1762558519.7604547,12300,-12.0
1762558520.639563,12400,-24.0
1762558521.4895475,12500,-15.0
1762558522.3263702,12600,-7.0
1762558523.1696086,12700,-7.0
1762558524.020124,12800,-27.0
1762558524.8518338,12900,-22.0
1762558525.7238004,13000,-2.0
1762558526.5758827,13100,0.0
1762558527.4328196,13200,-4.0
1762558528.3220935,13300,-2.0
1762558529.203411,13400,-3.0
1762558530.0688818,13500,-1.0
1762558530.9417949,13600,-6.0
1762558531.8656144,13700,-3.0
1762558532.7645802,13800,0.0
1762558533.669012,13900,-1.0
1762558534.550207,14000,-8.0
1762558535.4669788,14100,-3.0
1762558536.3843508,14200,-9.0
1762558537.3035817,14300,-4.0
1762558538.224009,14400,-2.0
1762558539.1364431,14500,-7.0
1762558540.0611122,14600,-3.0
1762558541.0324745,14700,-3.0
1762558541.9611974,14800,0.0
1762558542.89832,14900,-3.0
1762558543.8371916,15000,-15.0
1762558544.7246745,15100,-3.0
1762558545.6037107,15200,-2.0
1762558546.496916,15300,-3.0
1762558547.4485006,15400,-2.0
1762558548.3820224,15500,0.0
1762558549.3252392,15600,0.0
1762558550.2533715,15700,0.0
1762558551.179315,15800,-1.0
1762558552.1948206,15900,-2.0
1762558553.1454453,16000,-3.0
1762558554.1031482,16100,-3.0
1762558555.0099702,16200,-1.0
1762558555.9428806,16300,-2.0
1762558556.8844104,16400,-2.0
1762558557.821984,16500,-2.0
1762558558.7925394,16600,-3.0
1762558559.7668402,16700,-4.0
1762558560.7191806,16800,-2.0
1762558561.661046,16900,-5.0
1762558562.5869799,17000,-2.0
1762558563.5129352,17100,-2.0
1762558564.4609303,17200,-2.0
1762558565.3882062,17300,-4.0
1762558566.319106,17400,-3.0
1762558567.2791595,17500,-2.0
1762558568.2564826,17600,-8.0
1762558569.2307777,17700,-1.0
1762558570.2179964,17800,-2.0
1762558571.21864,17900,-2.0
1762558572.198243,18000,-4.0
1762558573.1882396,18100,-2.0
1762558574.1809392,18200,-2.0
1762558575.1579769,18300,-3.0
1762558576.1455605,18400,-3.0
1762558577.1670516,18500,-2.0
1762558578.145896,18600,-2.0
1762558579.1352527,18700,-1.0
1762558580.1256115,18800,-3.0
1762558581.1134694,18900,-3.0
1762558582.1393669,19000,-3.0
1762558583.165006,19100,-3.0
1762558584.1763618,19200,-2.0
1762558585.1973257,19300,-2.0
1762558586.1940114,19400,-1.0
1762558587.203747,19500,-3.0
1762558588.212033,19600,-3.0
1762558589.2191558,19700,-2.0
1762558590.2269917,19800,-2.0
1762558591.245182,19900,-3.0
1762558592.2574852,20000,-5.0
1762558593.4306548,20100,-4.0
1762558594.4341345,20200,-12.0
1762558595.413979,20300,-16.0
1762558596.3813891,20400,-3.0
