Metrics/EnvironmentSteps,Metrics/AverageReturn
100,-100.0
200,-100.0
300,-100.0
400,-100.0
500,-100.0
600,-100.0
700,-100.0
800,-100.0
900,-100.0
1000,-100.0
1100,-100.0
1200,-100.0
1300,-100.0
1400,-100.0
1500,-100.0
1600,-100.0
1700,-100.0
1800,-100.0
1900,-100.0
2000,-100.0
2100,-100.0
2200,-100.0
2300,-100.0
2400,-100.0
2500,-100.0
2600,-100.0
2700,-100.0
2800,-100.0
2900,-100.0
3000,-100.0
3100,-100.0
3200,-100.0
3300,-100.0
3400,-100.0
3500,-100.0
3600,-94.0
3700,-100.0
3800,-100.0
3900,-100.0
4000,-100.0
4100,-99.0
4200,-98.0
4300,-97.0
4400,-100.0
4500,-100.0
4600,-100.0
4700,-100.0
4800,-100.0
4900,-100.0
5000,-100.0
5100,-100.0
5200,-100.0
5300,-100.0
5400,-100.0
5500,-100.0
5600,-100.0
5700,-100.0
5800,-100.0
5900,-100.0
6000,-100.0
6100,-100.0
6200,-100.0
6300,-100.0
6400,-100.0
6500,-100.0
6600,-100.0
6700,-100.0
6800,-100.0
6900,-100.0
7000,-100.0
7100,-99.0
7200,-100.0
7300,-100.0
7400,-100.0
7500,-100.0
7600,-100.0
7700,-100.0
7800,-100.0
7900,-100.0
8000,-100.0
8100,-100.0
8200,-100.0
8300,-100.0
8400,-100.0
8500,-100.0
8600,-100.0
8700,-100.0
8800,-100.0
8900,-100.0
9000,-100.0
9100,-100.0
9200,-100.0
9300,-100.0
9400,-100.0
9500,-100.0
9600,-100.0
9700,-100.0
9800,-100.0
9900,-100.0
10000,-100.0
10100,-100.0
10200,-100.0
10300,-98.0
10400,-100.0
10500,-100.0
10600,-100.0
10700,-100.0
10800,-100.0
10900,-100.0
11000,-94.0
11100,-98.0
11200,-100.0
11300,-97.0
11400,-99.0
11500,-93.0
11600,-100.0
11700,-100.0
11800,-100.0
11900,-98.0
12000,-100.0
12100,-100.0
12200,-100.0
12300,-100.0
12400,-100.0
12500,-100.0
12600,-100.0
12700,-98.0
12800,-99.0
12900,-98.0
13000,-100.0
13100,-100.0
13200,-100.0
13300,-100.0
13400,-100.0
13500,-100.0
13600,-100.0
13700,-100.0
13800,-100.0
13900,-100.0
14000,-98.0
14100,-99.0
14200,-99.0
14300,-100.0
14400,-89.0
14500,-97.0
14600,-54.0
14700,-99.0
14800,-97.0
14900,-73.0
15000,-100.0
15100,-63.0
15200,-100.0
15300,-79.0
15400,-69.0
15500,-90.0
15600,-60.0
15700,-57.0
15800,-95.0
15900,-70.0
16000,-85.0
16100,-100.0
16200,-67.0
16300,-100.0
16400,-52.0
16500,-85.0
16600,-98.0
16700,-89.0
16800,-90.0
16900,-39.0
17000,-98.0
17100,-44.0
17200,-37.0
17300,-87.0
17400,-88.0
17500,-29.0
17600,-3.0
17700,-19.0
17800,-18.0
17900,-43.0
18000,-8.0
18100,-28.0
18200,-58.0
18300,-13.0
18400,-33.0
18500,-5.0
18600,-16.0
18700,-24.0
18800,-60.0
18900,-6.0
19000,-21.0
19100,-9.0
19200,-20.0
19300,-9.0
19400,-5.0
19500,-14.0
19600,-4.0
19700,-8.0
19800,-15.0
19900,-3.0
20000,-2.0
20100,-9.0
20200,-10.0
20300,-3.0
20400,-19.0
20500,-2.0
20600,-3.0
20700,-3.0
20800,-20.0
20900,-6.0
21000,-9.0
21100,-2.0
21200,-3.0
21300,-2.0
21400,-2.0
21500,-2.0
21600,-11.0
21700,-4.0
21800,-6.0
21900,-1.0
22000,-6.0
22100,-3.0
22200,-3.0
22300,-4.0
22400,-4.0
22500,-6.0
22600,-3.0
22700,-3.0
22800,-6.0
22900,-1.0
23000,-4.0
23100,-2.0
23200,-3.0
23300,-3.0
23400,-6.0
23500,-3.0
23600,-4.0
23700,-4.0
23800,-3.0
23900,-2.0
24000,-3.0
24100,-2.0
24200,-2.0
24300,-3.0
24400,-2.0
24500,-1.0
24600,-4.0
24700,-3.0
24800,-5.0
24900,-3.0
25000,-2.0
25100,-4.0
25200,-2.0
25300,0.0
25400,-3.0
25500,-4.0
25600,-3.0
25700,-3.0
25800,-1.0
25900,-1.0
26000,0.0
26100,-3.0
26200,-2.0
26300,-3.0
26400,0.0
26500,-2.0
26600,-2.0
26700,-2.0
26800,-1.0
26900,-3.0
27000,-2.0
27100,-1.0
27200,-2.0
27300,-8.0
27400,-1.0
27500,-6.0
27600,-3.0
27700,-2.0
27800,0.0
27900,-1.0
28000,-4.0
28100,-2.0
28200,0.0
28300,-2.0
28400,-1.0
28500,-3.0
28600,-1.0
28700,-3.0
28800,-1.0
28900,-1.0
29000,-1.0
29100,-3.0
29200,-2.0
29300,-1.0
