Metrics/EnvironmentSteps,Metrics/AverageReturn
100,-100.0
200,-100.0
300,-100.0
400,-100.0
500,-100.0
600,-100.0
700,-100.0
800,-100.0
900,-100.0
1000,-98.0
1100,-100.0
1200,-100.0
1300,-100.0
1400,-100.0
1500,-100.0
1600,-100.0
1700,-95.0
1800,-100.0
1900,-95.0
2000,-100.0
2100,-100.0
2200,-100.0
2300,-100.0
2400,-100.0
2500,-100.0
2600,-100.0
2700,-100.0
2800,-100.0
2900,-100.0
3000,-100.0
3100,-100.0
3200,-100.0
3300,-100.0
3400,-100.0
3500,-100.0
3600,-100.0
3700,-100.0
3800,-100.0
3900,-97.0
4000,-100.0
4100,-100.0
4200,-91.0
4300,-99.0
4400,-99.0
4500,-100.0
4600,-100.0
4700,-100.0
4800,-100.0
4900,-100.0
5000,-100.0
5100,-100.0
5200,-100.0
5300,-100.0
5400,-100.0
5500,-100.0
5600,-100.0
5700,-100.0
5800,-100.0
5900,-100.0
6000,-100.0
6100,-100.0
6200,-100.0
6300,-100.0
6400,-100.0
6500,-100.0
6600,-100.0
6700,-100.0
6800,-100.0
6900,-100.0
7000,-100.0
7100,-100.0
7200,-100.0
7300,-100.0
7400,-100.0
7500,-100.0
7600,-99.0
7700,-100.0
7800,-100.0
7900,-100.0
8000,-100.0
8100,-100.0
8200,-98.0
8300,-96.0
8400,-100.0
8500,-100.0
8600,-100.0
8700,-97.0
8800,-100.0
8900,-100.0
9000,-96.0
9100,-95.0
9200,-98.0
9300,-90.0
9400,-94.0
9500,-100.0
9600,-96.0
9700,-100.0
9800,-100.0
9900,-94.0
10000,-100.0
10100,-93.0
10200,-99.0
10300,-96.0
10400,-100.0
10500,-100.0
10600,-100.0
10700,-91.0
10800,-100.0
10900,-99.0
11000,-100.0
11100,-100.0
11200,-100.0
11300,-100.0
11400,-92.0
11500,-100.0
11600,-100.0
11700,-100.0
11800,-100.0
11900,-100.0
12000,-100.0
12100,-100.0
12200,-96.0
12300,-100.0
12400,-100.0
12500,-95.0
12600,-86.0
12700,-95.0
12800,-96.0
12900,-100.0
13000,-88.0
13100,-99.0
13200,-100.0
13300,-82.0
13400,-100.0
13500,-100.0
13600,-100.0
13700,-100.0
13800,-99.0
13900,-100.0
14000,-92.0
14100,-100.0
14200,-100.0
14300,-99.0
14400,-100.0
14500,-100.0
14600,-97.0
14700,-99.0
14800,-100.0
14900,-91.0
15000,-100.0
15100,-100.0
15200,-100.0
15300,-97.0
15400,-95.0
15500,-100.0
15600,-100.0
15700,-99.0
15800,-99.0
15900,-100.0
16000,-100.0
16100,-95.0
16200,-100.0
16300,-100.0
16400,-100.0
16500,-98.0
16600,-100.0
16700,-100.0
16800,-97.0
16900,-98.0
17000,-100.0
17100,-99.0
17200,-83.0
17300,-100.0
17400,-100.0
17500,-86.0
17600,-97.0
17700,-98.0
17800,-69.0
17900,-99.0
18000,-75.0
18100,-34.0
18200,-96.0
18300,-98.0
18400,-96.0
18500,-100.0
18600,-95.0
18700,-80.0
18800,-96.0
18900,-80.0
19000,-100.0
19100,-83.0
19200,-100.0
19300,-100.0
19400,-77.0
19500,-98.0
19600,-100.0
19700,-100.0
19800,-58.0
19900,-75.0
20000,-71.0
20100,-98.0
20200,-100.0
20300,-5.0
20400,-23.0
20500,-67.0
20600,-89.0
20700,-71.0
20800,-74.0
20900,-84.0
21000,-95.0
21100,-91.0
21200,-84.0
21300,-100.0
21400,-87.0
21500,-64.0
21600,-83.0
21700,-60.0
21800,-72.0
21900,-3.0
22000,-46.0
22100,-71.0
22200,-90.0
22300,-20.0
22400,-81.0
22500,-83.0
22600,-12.0
22700,-91.0
22800,-5.0
22900,-59.0
23000,-29.0
23100,-91.0
23200,-5.0
23300,-55.0
23400,-61.0
23500,-4.0
23600,-62.0
23700,-3.0
23800,-5.0
23900,-67.0
24000,-57.0
24100,-63.0
24200,-75.0
24300,-10.0
24400,-45.0
24500,-15.0
24600,-27.0
24700,-72.0
24800,-73.0
24900,-3.0
25000,-58.0
25100,-33.0
25200,-45.0
25300,-57.0
25400,-14.0
25500,-18.0
25600,-23.0
25700,-15.0
25800,-28.0
25900,-23.0
26000,-82.0
26100,-20.0
26200,-20.0
26300,-17.0
26400,-5.0
26500,-10.0
26600,-13.0
26700,-3.0
26800,-4.0
26900,-5.0
27000,-8.0
27100,-7.0
27200,-4.0
27300,-5.0
27400,-3.0
27500,-2.0
27600,-5.0
27700,-5.0
27800,-10.0
27900,-3.0
28000,-4.0
28100,-4.0
28200,-3.0
28300,-5.0
28400,-3.0
28500,-1.0
28600,-7.0
28700,-6.0
28800,-4.0
28900,-6.0
29000,-4.0
29100,-3.0
29200,-3.0
