Metrics/EnvironmentSteps,Metrics/AverageReturn
100,-100.0
200,-100.0
300,-100.0
400,-100.0
500,-100.0
600,-100.0
700,-100.0
800,-100.0
900,-100.0
1000,-100.0
1100,-100.0
1200,-100.0
1300,-100.0
1400,-100.0
1500,-100.0
1600,-100.0
1700,-100.0
1800,-100.0
1900,-100.0
2000,-100.0
2100,-100.0
2200,-100.0
2300,-100.0
2400,-100.0
2500,-100.0
2600,-100.0
2700,-100.0
2800,-100.0
2900,-100.0
3000,-100.0
3100,-100.0
3200,-100.0
3300,-100.0
3400,-100.0
3500,-100.0
3600,-100.0
3700,-100.0
3800,-100.0
3900,-100.0
4000,-100.0
4100,-100.0
4200,-100.0
4300,-100.0
4400,-100.0
4500,-100.0
4600,-100.0
4700,-100.0
4800,-100.0
4900,-100.0
5000,-98.0
5100,-100.0
5200,-100.0
5300,-100.0
5400,-100.0
5500,-100.0
5600,-100.0
5700,-100.0
5800,-100.0
5900,-100.0
6000,-100.0
6100,-100.0
6200,-100.0
6300,-100.0
6400,-100.0
6500,-100.0
6600,-100.0
6700,-100.0
6800,-100.0
6900,-100.0
7000,-100.0
7100,-100.0
7200,-99.0
7300,-100.0
7400,-100.0
7500,-100.0
7600,-96.0
7700,-100.0
7800,-100.0
7900,-100.0
8000,-100.0
8100,-100.0
8200,-100.0
8300,-100.0
8400,-100.0
8500,-100.0
8600,-100.0
8700,-100.0
8800,-100.0
8900,-100.0
9000,-100.0
9100,-100.0
9200,-100.0
9300,-100.0
9400,-100.0
9500,-100.0
9600,-100.0
9700,-100.0
9800,-100.0
9900,-100.0
10000,-100.0
10100,-100.0
10200,-100.0
10300,-100.0
10400,-100.0
10500,-100.0
10600,-100.0
10700,-100.0
10800,-100.0
10900,-100.0
11000,-98.0
11100,-100.0
11200,-100.0
11300,-100.0
11400,-100.0
11500,-100.0
11600,-100.0
11700,-100.0
11800,-100.0
11900,-100.0
12000,-100.0
12100,-100.0
12200,-100.0
12300,-100.0
12400,-100.0
12500,-100.0
12600,-100.0
12700,-100.0
12800,-100.0
12900,-100.0
13000,-100.0
13100,-100.0
13200,-100.0
13300,-100.0
13400,-100.0
13500,-100.0
13600,-100.0
13700,-98.0
13800,-100.0
13900,-100.0
14000,-100.0
14100,-100.0
14200,-100.0
14300,-100.0
14400,-100.0
14500,-100.0
14600,-99.0
14700,-100.0
14800,-100.0
14900,-100.0
15000,-100.0
15100,-100.0
15200,-100.0
15300,-100.0
15400,-100.0
15500,-100.0
15600,-100.0
15700,-100.0
15800,-100.0
15900,-100.0
16000,-100.0
16100,-100.0
16200,-98.0
16300,-100.0
16400,-100.0
16500,-100.0
16600,-100.0
16700,-100.0
16800,-100.0
16900,-99.0
17000,-100.0
17100,-100.0
17200,-100.0
17300,-100.0
17400,-100.0
17500,-98.0
17600,-100.0
17700,-100.0
17800,-100.0
17900,-100.0
18000,-100.0
18100,-100.0
18200,-98.0
18300,-100.0
18400,-100.0
18500,-100.0
18600,-100.0
18700,-100.0
18800,-100.0
18900,-100.0
19000,-100.0
19100,-100.0
19200,-100.0
19300,-100.0
19400,-100.0
19500,-100.0
19600,-100.0
19700,-100.0
19800,-100.0
19900,-100.0
20000,-100.0
20100,-100.0
20200,-100.0
20300,-100.0
20400,-100.0
20500,-100.0
20600,-100.0
20700,-100.0
20800,-100.0
20900,-100.0
21000,-99.0
21100,-100.0
21200,-99.0
21300,-100.0
21400,-98.0
21500,-100.0
21600,-100.0
21700,-98.0
21800,-100.0
21900,-97.0
22000,-100.0
22100,-98.0
22200,-100.0
22300,-100.0
22400,-98.0
22500,-100.0
22600,-100.0
22700,-100.0
22800,-100.0
22900,-100.0
23000,-99.0
23100,-100.0
23200,-100.0
23300,-100.0
23400,-46.0
23500,-37.0
23600,-100.0
23700,-100.0
23800,-100.0
23900,-9.0
24000,-100.0
24100,-97.0
24200,-100.0
24300,-92.0
24400,-100.0
24500,-3.0
24600,-100.0
24700,-100.0
24800,-100.0
24900,-100.0
25000,-100.0
25100,-100.0
25200,-100.0
25300,-78.0
25400,-100.0
25500,-100.0
25600,-100.0
25700,-98.0
25800,-95.0
25900,-100.0
26000,-100.0
26100,-100.0
26200,-100.0
26300,-80.0
26400,-98.0
26500,-100.0
26600,-32.0
26700,-98.0
26800,-83.0
26900,-99.0
27000,-100.0
27100,-87.0
27200,-100.0
27300,-72.0
27400,-78.0
27500,-100.0
27600,-100.0
27700,-100.0
27800,-100.0
27900,-100.0
28000,-100.0
28100,-100.0
28200,-100.0
28300,-100.0
28400,-100.0
28500,-13.0
28600,-100.0
28700,-100.0
28800,-90.0
28900,-99.0
29000,-97.0
29100,-95.0
29200,-3.0
