Wall time,Step,Value
1763119174.2661874,100,-99.0
1763119174.7357,200,-100.0
1763119175.2013037,300,-100.0
1763119175.671266,400,-100.0
1763119176.1519237,500,-100.0
1763119176.6472688,600,-100.0
1763119177.144365,700,-100.0
1763119177.64881,800,-100.0
1763119178.1545627,900,-100.0
1763119178.6764545,1000,-100.0
1763119179.1859925,1100,-100.0
1763119179.702111,1200,-100.0
1763119180.2376413,1300,-100.0
1763119180.7660263,1400,-100.0
1763119181.2980316,1500,-100.0
1763119181.8385653,1600,-100.0
1763119182.3809888,1700,-100.0
1763119182.928134,1800,-100.0
1763119183.4765818,1900,-100.0
1763119184.058694,2000,-100.0
1763119184.63349,2100,-100.0
1763119185.220473,2200,-100.0
1763119185.8488355,2300,-100.0
1763119186.438554,2400,-100.0
1763119187.043318,2500,-100.0
1763119187.6729004,2600,-100.0
1763119188.2988853,2700,-100.0
1763119188.932405,2800,-100.0
1763119189.5495703,2900,-100.0
1763119190.1778688,3000,-100.0
1763119190.8158567,3100,-100.0
1763119191.4488022,3200,-100.0
1763119192.0760918,3300,-100.0
1763119192.7174258,3400,-100.0
1763119193.3716657,3500,-100.0
1763119194.013997,3600,-100.0
1763119194.6699154,3700,-100.0
1763119195.328266,3800,-100.0
1763119196.0202343,3900,-100.0
1763119196.7091062,4000,-100.0
1763119197.3665311,4100,-100.0
1763119198.0668926,4200,-99.0
1763119198.757944,4300,-100.0
1763119199.4356928,4400,-100.0
1763119200.1282716,4500,-100.0
1763119200.8295696,4600,-100.0
1763119201.5160627,4700,-98.0
1763119202.2000046,4800,-100.0
1763119202.902818,4900,-100.0
1763119203.6115127,5000,-100.0
1763119204.3136296,5100,-100.0
1763119205.0030885,5200,-100.0
1763119205.6934462,5300,-99.0
1763119206.3507714,5400,-100.0
1763119207.0226254,5500,-99.0
1763119207.6953785,5600,-100.0
1763119208.3773696,5700,-100.0
1763119209.068635,5800,-100.0
1763119209.7631261,5900,-100.0
1763119210.4635475,6000,-100.0
1763119211.1529639,6100,-100.0
1763119211.850064,6200,-100.0
1763119212.5628917,6300,-100.0
1763119213.3064573,6400,-100.0
