Wall time,Step,Value
1761245979.1063004,100,-100.0
1761245980.762906,200,-100.0
1761245982.495714,300,-100.0
1761245984.1850133,400,-100.0
1761245985.919944,500,-98.0
1761245987.6116633,600,-100.0
1761245989.3384762,700,-100.0
1761245991.178322,800,-100.0
1761245993.0504918,900,-100.0
1761245994.991258,1000,-100.0
1761245996.8365502,1100,-100.0
1761245998.734655,1200,-100.0
1761246000.6903472,1300,-100.0
1761246002.948811,1400,-100.0
1761246006.117035,1500,-100.0
1761246008.1344142,1600,-100.0
1761246010.0829453,1700,-100.0
1761246012.079356,1800,-100.0
1761246014.08943,1900,-99.0
1761246016.074427,2000,-100.0
1761246018.939894,2100,-100.0
1761246021.4377449,2200,-100.0
1761246023.424241,2300,-100.0
1761246025.668473,2400,-100.0
1761246027.6971853,2500,-100.0
1761246029.730406,2600,-100.0
1761246031.7684536,2700,-100.0
1761246033.8427444,2800,-100.0
1761246035.8964784,2900,-100.0
1761246038.0297835,3000,-100.0
1761246040.0891225,3100,-100.0
1761246042.204586,3200,-100.0
1761246044.2686398,3300,-100.0
1761246046.382656,3400,-100.0
1761246048.4569547,3500,-100.0
1761246050.5659058,3600,-100.0
1761246052.6477647,3700,-98.0
1761246054.7660842,3800,-100.0
1761246056.8659647,3900,-98.0
1761246058.9552915,4000,-100.0
1761246061.0514219,4100,-100.0
1761246063.222054,4200,-100.0
1761246065.3236468,4300,-100.0
1761246067.4341402,4400,-100.0
1761246069.5731578,4500,-100.0
1761246071.6901658,4600,-100.0
1761246073.8218162,4700,-99.0
1761246075.926902,4800,-100.0
1761246078.0592103,4900,-100.0
1761246081.6799273,5000,-99.0
1761246083.830863,5100,-100.0
1761246086.1867676,5200,-100.0
1761246089.529486,5300,-100.0
1761246091.6738455,5400,-100.0
1761246093.8199854,5500,-100.0
1761246095.988006,5600,-100.0
1761246098.144213,5700,-100.0
1761246100.3196697,5800,-100.0
1761246102.4950716,5900,-100.0
1761246104.683355,6000,-100.0
1761246106.8849654,6100,-100.0
1761246109.064449,6200,-100.0
1761246111.2546947,6300,-100.0
1761246113.5034394,6400,-100.0
1761246118.1092055,6500,-100.0
1761246120.3864324,6600,-100.0
1761246122.7762187,6700,-100.0
1761246125.0688684,6800,-100.0
1761246127.3585484,6900,-100.0
1761246130.069778,7000,-100.0
1761246132.3628452,7100,-100.0
1761246134.657738,7200,-100.0
1761246139.4384863,7300,-100.0
1761246141.7885756,7400,-100.0
1761246144.1646667,7500,-100.0
1761246146.706007,7600,-100.0
1761246149.0495708,7700,-100.0
1761246151.3834193,7800,-100.0
1761246153.7174191,7900,-100.0
1761246156.0508451,8000,-100.0
1761246158.3729432,8100,-98.0
1761246160.7085125,8200,-100.0
1761246163.0305436,8300,-100.0
1761246165.386075,8400,-100.0
1761246167.741694,8500,-100.0
1761246170.1025994,8600,-100.0
1761246172.4614053,8700,-100.0
1761246174.8371232,8800,-100.0
1761246177.2501397,8900,-100.0
1761246179.654252,9000,-96.0
1761246182.0144439,9100,-96.0
1761246184.393529,9200,-99.0
1761246186.7711968,9300,-100.0
1761246189.1576831,9400,-100.0
1761246191.5494385,9500,-99.0
1761246193.9341657,9600,-100.0
1761246196.3134892,9700,-100.0
1761246200.1766107,9800,-99.0
1761246202.5889924,9900,-100.0
1761246205.2333531,10000,-100.0
1761246207.8113923,10100,-100.0
1761246210.1933641,10200,-100.0
1761246212.5860448,10300,-100.0
1761246214.969458,10400,-100.0
1761246217.365018,10500,-100.0
1761246219.7800941,10600,-100.0
1761246222.165119,10700,-100.0
1761246224.6010394,10800,-100.0
1761246226.9952304,10900,-100.0
1761246229.3905702,11000,-100.0
1761246231.8039744,11100,-100.0
1761246234.1994903,11200,-97.0
1761246236.6085303,11300,-100.0
1761246239.0299673,11400,-100.0
1761246241.448984,11500,-100.0
1761246243.910064,11600,-100.0
1761246246.328963,11700,-100.0
1761246248.7578256,11800,-100.0
1761246251.2323492,11900,-100.0
1761246253.7003815,12000,-100.0
1761246258.5273395,12100,-100.0
1761246260.9886727,12200,-100.0
1761246263.4558146,12300,-100.0
1761246266.1353085,12400,-100.0
1761246268.6089494,12500,-100.0
1761246271.0908232,12600,-100.0
1761246274.155192,12700,-100.0
1761246276.6510067,12800,-99.0
1761246279.1570983,12900,-93.0
1761246281.70386,13000,-100.0
1761246284.1959236,13100,-100.0
1761246286.7343986,13200,-100.0
1761246289.238716,13300,-100.0
1761246292.1404011,13400,-100.0
1761246294.631404,13500,-100.0
1761246298.6261368,13600,-100.0
1761246301.148264,13700,-100.0
1761246304.0750067,13800,-100.0
1761246306.565724,13900,-100.0
1761246309.1527946,14000,-100.0
1761246311.6728005,14100,-100.0
1761246315.5650241,14200,-100.0
1761246318.0491865,14300,-100.0
1761246320.5706027,14400,-100.0
1761246323.0749943,14500,-100.0
1761246328.160169,14600,-83.0
1761246333.1632116,14700,-69.0
1761246336.7267337,14800,-86.0
1761246341.8345594,14900,-100.0
1761246344.4488165,15000,-100.0
1761246349.5136473,15100,-100.0
1761246352.0314314,15200,-100.0
1761246354.5614254,15300,-100.0
1761246357.065976,15400,-28.0
1761246359.5686593,15500,-100.0
1761246363.1807816,15600,-100.0
1761246365.7026455,15700,-25.0
1761246368.215765,15800,-100.0
1761246370.767269,15900,-100.0
1761246373.350909,16000,-65.0
1761246375.8946333,16100,-7.0
1761246378.4611993,16200,-100.0
1761246380.9923136,16300,-99.0
1761246383.5908244,16400,-91.0
1761246386.3782477,16500,-2.0
1761246388.9744809,16600,-19.0
1761246392.6620264,16700,-87.0
1761246397.319777,16800,-81.0
1761246399.9397576,16900,-97.0
1761246402.535295,17000,-100.0
1761246405.1388304,17100,-48.0
1761246407.7220662,17200,-54.0
1761246410.3093932,17300,-99.0
1761246412.9606917,17400,-15.0
1761246415.5481288,17500,-55.0
1761246418.2159243,17600,-100.0
1761246420.8351943,17700,-72.0
1761246423.4790087,17800,-96.0
1761246426.0849307,17900,-91.0
1761246428.756708,18000,-100.0
1761246431.385734,18100,-2.0
1761246434.056418,18200,-100.0
1761246436.6772568,18300,-100.0
1761246439.3997326,18400,-16.0
1761246442.0152833,18500,-98.0
1761246444.7019496,18600,-100.0
1761246448.4167888,18700,-92.0
1761246451.7479358,18800,-92.0
1761246454.3984528,18900,-27.0
1761246458.687135,19000,-99.0
1761246462.3954563,19100,-100.0
1761246465.0750313,19200,-73.0
1761246467.7212925,19300,-4.0
1761246470.3516037,19400,-100.0
1761246473.0072188,19500,-100.0
1761246475.625508,19600,-80.0
1761246478.2823987,19700,-100.0
1761246480.8858569,19800,-94.0
1761246485.237188,19900,-21.0
1761246487.8268561,20000,-97.0
1761246493.7517483,20100,-39.0
1761246496.4568746,20200,-4.0
1761246499.1226237,20300,-72.0
1761246501.7699957,20400,-83.0
1761246504.4502664,20500,-6.0
1761246507.3969162,20600,-19.0
1761246510.0647237,20700,-41.0
1761246512.7842822,20800,-97.0
1761246515.4593873,20900,-11.0
1761246518.2155893,21000,-7.0
1761246520.8951633,21100,-92.0
1761246523.587678,21200,-79.0
1761246526.2765086,21300,-13.0
1761246528.9649541,21400,-62.0
1761246531.6641614,21500,-26.0
1761246534.35349,21600,-28.0
1761246537.044181,21700,-62.0
1761246539.7590902,21800,-96.0
1761246542.4563727,21900,-70.0
1761246545.8304455,22000,-54.0
1761246548.5585725,22100,-32.0
1761246553.0366142,22200,-97.0
1761246556.3387969,22300,-52.0
1761246559.5678139,22400,-32.0
1761246564.4903247,22500,-38.0
1761246567.9686344,22600,-31.0
1761246570.9534872,22700,-7.0
1761246574.8705535,22800,-8.0
1761246577.6807194,22900,-87.0
1761246580.508022,23000,-17.0
1761246583.83152,23100,-33.0
1761246586.7487166,23200,-8.0
1761246589.7328901,23300,-26.0
1761246592.6632237,23400,-26.0
1761246595.7914438,23500,-59.0
1761246598.7872186,23600,-2.0
1761246601.6752992,23700,-32.0
1761246607.3899376,23800,-3.0
1761246615.0779703,23900,-9.0
1761246617.9569533,24000,-12.0
1761246621.5363684,24100,-4.0
1761246624.3824725,24200,-56.0
1761246627.8013494,24300,-11.0
1761246630.6501222,24400,-17.0
1761246635.9211266,24500,-30.0
1761246639.1996317,24600,-3.0
1761246642.791798,24700,-3.0
1761246645.5912292,24800,-3.0
1761246650.749005,24900,0.0
1761246653.5518525,25000,-7.0
1761246656.317495,25100,-4.0
1761246659.1023884,25200,-1.0
1761246661.9323025,25300,-7.0
1761246664.7076228,25400,-7.0
1761246667.5865262,25500,-30.0
1761246670.425899,25600,-11.0
1761246673.2375295,25700,-3.0
1761246678.0477114,25800,-12.0
1761246680.8806717,25900,-6.0
1761246683.7324278,26000,-4.0
1761246686.506212,26100,-2.0
1761246689.4889042,26200,-4.0
1761246692.2836597,26300,-51.0
1761246697.6288016,26400,-12.0
1761246700.4498382,26500,-1.0
1761246703.2334497,26600,-27.0
1761246706.0347073,26700,-3.0
1761246708.8811798,26800,-2.0
1761246711.7211115,26900,-11.0
1761246714.5237253,27000,-2.0
1761246717.3690271,27100,-1.0
1761246720.1678379,27200,-4.0
1761246723.0065897,27300,0.0
1761246725.8095553,27400,-4.0
1761246729.7164252,27500,-3.0
1761246734.2794917,27600,-5.0
