Wall time,Metrics/EnvironmentSteps,Metrics/AverageReturn
1761233758.2336314,100,-100.0
1761233759.8164656,200,-100.0
1761233761.375312,300,-100.0
1761233762.9418423,400,-98.0
1761233764.5413084,500,-100.0
1761233766.1315591,600,-100.0
1761233767.7838135,700,-100.0
1761233769.5869238,800,-100.0
1761233773.1081505,900,-100.0
1761233776.7095134,1000,-100.0
1761233780.9665315,1100,-100.0
1761233786.3626776,1200,-100.0
1761233788.1407459,1300,-100.0
1761233789.9815905,1400,-100.0
1761233794.2514715,1500,-100.0
1761233796.0742948,1600,-100.0
1761233797.9009778,1700,-100.0
1761233799.7298837,1800,-100.0
1761233801.566106,1900,-100.0
1761233803.3972065,2000,-100.0
1761233805.2701888,2100,-99.0
1761233807.093956,2200,-100.0
1761233808.9290597,2300,-100.0
1761233810.7674901,2400,-100.0
1761233812.6363568,2500,-100.0
1761233816.3250127,2600,-100.0
1761233818.2373073,2700,-100.0
1761233820.1032276,2800,-100.0
1761233821.9462025,2900,-99.0
1761233823.8102791,3000,-100.0
1761233825.6931171,3100,-100.0
1761233827.5781546,3200,-100.0
1761233829.4567347,3300,-100.0
1761233831.3446712,3400,-100.0
1761233833.2405007,3500,-100.0
1761233835.1232562,3600,-100.0
1761233837.0156193,3700,-99.0
1761233842.043608,3800,-99.0
1761233844.174765,3900,-100.0
1761233846.1136303,4000,-99.0
1761233849.0951138,4100,-100.0
1761233852.9756567,4200,-100.0
1761233857.0478778,4300,-100.0
1761233858.983919,4400,-100.0
1761233860.9421399,4500,-100.0
1761233862.9090376,4600,-100.0
1761233864.8773832,4700,-100.0
1761233866.8666387,4800,-100.0
1761233868.8505378,4900,-100.0
1761233870.854623,5000,-100.0
1761233872.8401809,5100,-100.0
1761233876.490872,5200,-100.0
1761233878.50337,5300,-100.0
1761233880.8649313,5400,-100.0
1761233885.002334,5500,-98.0
1761233887.441505,5600,-100.0
1761233891.5298216,5700,-100.0
1761233893.5845933,5800,-100.0
1761233895.6401808,5900,-100.0
1761233897.740446,6000,-100.0
1761233899.8054476,6100,-100.0
1761233902.0189838,6200,-100.0
1761233904.4200556,6300,-100.0
1761233906.920595,6400,-100.0
1761233908.9963236,6500,-100.0
1761233911.0882628,6600,-99.0
1761233913.190578,6700,-100.0
1761233915.2908332,6800,-100.0
1761233917.389089,6900,-100.0
1761233919.498265,7000,-100.0
1761233922.7177162,7100,-100.0
1761233924.8252838,7200,-100.0
1761233926.9241312,7300,-100.0
1761233929.0273569,7400,-100.0
1761233931.1551516,7500,-100.0
1761233933.278473,7600,-99.0
1761233935.4050677,7700,-100.0
1761233937.5241234,7800,-100.0
1761233939.6606345,7900,-100.0
1761233941.7890964,8000,-100.0
1761233943.9208796,8100,-100.0
1761233947.278055,8200,-100.0
1761233949.4206483,8300,-100.0
1761233951.5718827,8400,-100.0
1761233953.7433565,8500,-100.0
