Wall time,Metrics/EnvironmentSteps,Metrics/AverageReturn
1761127709.0908334,100,-100.0
1761127810.5842745,200,-100.0
1761127912.0953348,300,-98.0
1761128014.7697854,400,-100.0
1761128119.8128135,500,-100.0
1761128222.459524,600,-100.0
1761128326.0630395,700,-100.0
1761128427.2208407,800,-100.0
1761128528.6177125,900,-100.0
1761128633.7429678,1000,-100.0
1761128737.2523227,1100,-100.0
1761128838.7274718,1200,-100.0
1761128940.5508966,1300,-100.0
1761129044.2619379,1400,-100.0
1761129146.1355789,1500,-100.0
1761129247.6444151,1600,-100.0
1761129350.2142673,1700,-100.0
1761129452.653336,1800,-100.0
1761129555.529231,1900,-100.0
1761129663.1301224,2000,-100.0
1761129765.4342337,2100,-100.0
1761129868.97298,2200,-100.0
1761129970.3025913,2300,-100.0
1761130071.3408132,2400,-100.0
1761130174.1446006,2500,-100.0
1761130277.5416367,2600,-100.0
1761130381.1326947,2700,-100.0
1761130486.5491753,2800,-100.0
1761130589.743635,2900,-100.0
1761130694.050539,3000,-100.0
1761130796.3710701,3100,-100.0
1761130897.690744,3200,-100.0
1761131002.620818,3300,-100.0
1761131105.7696357,3400,-97.0
1761131209.1449444,3500,-100.0
1761131310.503026,3600,-100.0
1761131414.319638,3700,-100.0
1761131518.217968,3800,-100.0
1761131619.6596274,3900,-99.0
1761131721.6409566,4000,-100.0
1761131821.7340846,4100,-100.0
1761131926.567633,4200,-100.0
1761132029.9064,4300,-100.0
1761132132.7381094,4400,-100.0
1761132234.9314384,4500,-100.0
1761132340.3486013,4600,-100.0
1761132444.398311,4700,-100.0
1761132548.25115,4800,-100.0
1761132649.1990862,4900,-100.0
1761132753.915416,5000,-100.0
1761132858.3440106,5100,-100.0
1761132960.2315984,5200,-100.0
1761133064.765435,5300,-100.0
1761133170.179765,5400,-100.0
1761133276.627321,5500,-97.0
1761133379.8350763,5600,-100.0
1761133480.2998571,5700,-100.0
1761133583.6971316,5800,-100.0
1761133687.1426287,5900,-100.0
1761133792.7166367,6000,-100.0
1761133894.3029017,6100,-100.0
1761134001.5296383,6200,-100.0
1761134104.3412597,6300,-100.0
1761134205.6534264,6400,-100.0
1761134308.3709686,6500,-100.0
1761134414.3272827,6600,-100.0
1761134514.9985666,6700,-100.0
1761134621.002574,6800,-98.0
1761134723.9234746,6900,-93.0
1761134826.8752294,7000,-100.0
1761134930.3039303,7100,-100.0
1761135038.279638,7200,-100.0
1761135143.6702683,7300,-100.0
1761135248.9005888,7400,-100.0
1761135353.7686317,7500,-100.0
1761135459.8002589,7600,-100.0
1761135563.4260185,7700,-100.0
1761135666.447016,7800,-100.0
1761135770.8972485,7900,-100.0
1761135873.1847012,8000,-100.0
1761135977.2150543,8100,-100.0
1761136082.439629,8200,-100.0
1761136188.8946667,8300,-100.0
1761136292.440338,8400,-100.0
1761136398.1737108,8500,-99.0
1761136503.1115587,8600,-100.0
1761136608.9085956,8700,-100.0
1761136714.364367,8800,-100.0
1761136822.1326282,8900,-82.0
1761136923.9807022,9000,-96.0
1761137030.9689007,9100,-100.0
1761137138.9636383,9200,-99.0
1761137247.7330687,9300,-100.0
1761137350.9118817,9400,-100.0
1761137454.0299652,9500,-100.0
1761137556.5476992,9600,-100.0
1761137659.0100822,9700,-100.0
1761137763.5683794,9800,-100.0
1761137870.945829,9900,-100.0
1761137979.8830473,10000,-100.0
1761138085.0877674,10100,-100.0
1761138190.8220341,10200,-100.0
1761138292.9779737,10300,-100.0
1761138400.0945349,10400,-100.0
1761138503.9590611,10500,-100.0
1761138610.3756976,10600,-100.0
1761138714.7384598,10700,-100.0
1761138825.0618973,10800,-100.0
1761138928.8200397,10900,-98.0
1761139033.6196032,11000,-100.0
1761139137.295559,11100,-100.0
1761139240.643166,11200,-100.0
1761139348.3661647,11300,-100.0
1761139454.1256335,11400,-100.0
1761139559.2672956,11500,-100.0
1761139666.6415298,11600,-92.0
1761139774.054475,11700,-100.0
1761139883.7050934,11800,-100.0
1761139986.7120843,11900,-100.0
1761140093.2937686,12000,-100.0
1761140202.7128005,12100,-100.0
1761140313.449932,12200,-97.0
1761140422.6165466,12300,-81.0
1761140527.342134,12400,-100.0
1761140631.224132,12500,-75.0
1761140736.853629,12600,-89.0
1761140840.5427127,12700,-100.0
1761140944.4507105,12800,-100.0
1761141049.6993766,12900,-100.0
1761141152.4422376,13000,-89.0
1761141259.8625383,13100,-100.0
1761141362.4071865,13200,-98.0
1761141466.891091,13300,-97.0
1761141573.016706,13400,-100.0
1761141676.880157,13500,-100.0
1761141779.6264565,13600,-99.0
1761141885.0756392,13700,-98.0
1761141990.4113638,13800,-98.0
1761142095.0911534,13900,-100.0
1761142200.2217565,14000,-100.0
1761142308.5546317,14100,-98.0
1761142415.419307,14200,-76.0
1761142517.5312822,14300,-100.0
1761142622.7666073,14400,-100.0
1761142724.4678214,14500,-84.0
1761142830.803445,14600,-99.0
1761142933.5686326,14700,-100.0
1761143037.8638723,14800,-100.0
1761143142.0776308,14900,-100.0
1761143244.4916298,15000,-100.0
1761143350.6755793,15100,-100.0
1761143457.7759988,15200,-100.0
1761143562.5231457,15300,-100.0
1761143665.5346398,15400,-100.0
1761143774.094266,15500,-100.0
1761143879.4753249,15600,-43.0
1761143983.2072906,15700,-100.0
1761144090.7260468,15800,-100.0
1761144197.5620224,15900,-95.0
1761144309.221762,16000,-100.0
1761144416.9453042,16100,-96.0
1761144525.144869,16200,-100.0
1761144631.9419162,16300,-100.0
1761144736.7121968,16400,-98.0
1761144841.2535787,16500,-30.0
1761144943.995667,16600,-94.0
1761145047.9806437,16700,-100.0
1761145154.919852,16800,-77.0
1761145257.4542336,16900,-100.0
1761145358.2220464,17000,-33.0
1761145463.2189772,17100,-83.0
1761145566.0877657,17200,-32.0
1761145670.8366394,17300,-50.0
1761145778.8991053,17400,-40.0
1761145885.6673207,17500,-93.0
1761145993.9558284,17600,-100.0
1761146095.0524428,17700,-100.0
1761146198.4737854,17800,-89.0
1761146306.06502,17900,-31.0
1761146416.1735857,18000,-10.0
1761146526.010941,18100,-100.0
1761146632.693308,18200,-79.0
1761146745.0666296,18300,-28.0
1761146849.422858,18400,-99.0
1761146952.5665045,18500,-98.0
1761147059.0302742,18600,-76.0
1761147168.787141,18700,-100.0
1761147276.4416373,18800,-64.0
1761147381.2253602,18900,-80.0
1761147486.7386296,19000,-100.0
1761147595.1406312,19100,-31.0
1761147698.3845515,19200,-36.0
1761147800.7402754,19300,-14.0
1761147905.8993497,19400,-96.0
1761148014.4916108,19500,-31.0
1761148119.104762,19600,-97.0
1761148221.9929209,19700,-46.0
1761148324.7167828,19800,-41.0
1761148431.2606218,19900,-23.0
1761148536.6990283,20000,-31.0
1761148643.2386365,20100,-100.0
1761148749.9033127,20200,-7.0
1761148826.3685255,20300,-43.0
1761148904.8897803,20400,-39.0
1761148987.7812226,20500,-40.0
1761149064.9208293,20600,-63.0
1761149142.3271368,20700,-43.0
1761149218.4849086,20800,-46.0
1761149296.9735713,20900,-100.0
1761149371.5257168,21000,-90.0
1761149449.2803597,21100,-21.0
1761149523.5027163,21200,-63.0
1761149599.893165,21300,-88.0
1761149673.887099,21400,-45.0
